seconds,time,air,beans,air_sp,power,power_sp,speed,coolfan_speed,stirrer_speed,pressure,pressure_fan_speed,pressure_sp,ror,ror_f,computed_air_ror,__filled,beans_clean,air_clean,beans_smooth,air_smooth
144.0,02:24,144.2,100.2,220,90,90,50,61,15616,101,20,100,10.6,191,8.9,0,100.2,144.2,100.22108597285124,144.19855203619989
145.0,02:25,144.5,100.7,220,90,90,50,61,15616,101,20,100,10.7,193,9.2,0,100.7,144.5,100.61547511312273,144.50923076923158
146.0,02:26,144.8,101.0,220,90,90,50,61,15616,101,19,100,10.6,190,9.3,0,101.0,144.8,100.97665158371098,144.7935746606343
147.0,02:27,145.1,101.3,220,90,90,50,61,15616,101,19,100,10.6,190,9.3,0,101.3,145.1,101.33239819004581,145.07665158371123
148.0,02:28,145.4,101.7,220,90,90,50,61,15616,100,19,100,10.6,191,9.0,0,101.7,145.4,101.68226244343948,145.34325791855284
149.0,02:29,145.6,102.0,220,90,90,50,61,15616,99,19,100,10.4,188,8.8,0,102.0,145.6,102.02579185520419,145.5929411764714
150.0,02:30,145.8,102.4,220,90,90,50,61,15616,99,19,100,10.4,187,8.3,0,102.4,145.8,102.36959276018156,145.82615384615465
151.0,02:31,146.0,102.7,220,90,90,50,61,15616,100,19,100,10.3,185,7.8,0,102.7,146.0,102.70705882352999,146.04425339366597
152.0,02:32,146.3,103.0,220,90,90,50,61,15616,99,19,100,10.3,185,7.2,0,103.0,146.3,103.03864253393724,146.24950226244425
153.0,02:33,146.5,103.4,220,90,90,50,61,15616,100,19,100,10.3,185,6.8,0,103.4,146.5,103.38570135746664,146.4521266968334
154.0,02:34,146.6,103.7,220,90,90,50,61,15616,100,19,100,10.3,185,6.4,0,103.7,146.6,103.72253393665216,146.64325791855288
155.0,02:35,146.8,104.1,220,90,90,50,61,15616,101,19,100,10.3,186,6.1,0,104.1,146.8,104.05755656108656,146.82877828054382
156.0,02:36,147.0,104.4,220,90,90,50,61,15616,100,19,100,10.4,187,5.9,0,104.4,147.0,104.39212669683316,147.02253393665242
157.0,02:37,147.2,104.7,220,90,90,50,61,15616,101,19,100,10.3,185,5.7,0,104.7,147.2,104.72760180995535,147.1983710407248
158.0,02:38,147.4,105.1,220,90,90,50,61,15616,99,19,100,10.3,185,5.6,0,105.1,147.4,105.06533936651643,147.37104072398273
159.0,02:39,147.6,105.4,220,90,90,50,61,15616,99,19,100,10.2,184,5.5,0,105.4,147.6,105.40669683257977,147.54144796380172
160.0,02:40,147.7,105.7,220,90,90,50,61,15616,99,20,100,10.1,181,5.5,0,105.7,147.7,105.746244343892,147.72434389140352
161.0,02:41,147.9,106.1,220,90,90,50,61,15616,100,20,100,9.9,179,5.5,0,106.1,147.9,106.09239819004583,147.91447963800985
162.0,02:42,148.1,106.4,220,90,90,50,61,15616,100,20,100,10.0,179,5.4,0,106.4,148.1,106.43357466063406,148.0998190045257
